"DateTime","(deg C) Min Temperature (gridMET) at 1, 2000-01-01 to 2020-04-08"
"2014-12-29",-10.6704
"2014-12-30",-10.0963
"2014-12-31",-8.3445
"2015-01-01",-13.9215
"2015-01-02",-14.6286
"2015-01-03",-12.706
"2015-01-04",-10.8551
"2015-01-05",-7.4723
"2015-01-06",-4.6174
"2015-01-07",-3.4074
"2015-01-08",-3.1616
"2015-01-09",-3.0777
"2015-01-10",-0.7755
"2015-01-11",-0.3733
"2015-01-12",0.4307
"2015-01-13",-0.7157
"2015-01-14",-3.7172
"2015-01-15",-5.6857
"2015-01-16",-5.2118
"2015-01-17",-4.3865
"2015-01-18",-3.6763
"2015-01-19",-3.8611
"2015-01-20",-3.5232
"2015-01-21",-6.1506
"2015-01-22",-9.5804
"2015-01-23",-8.8576
"2015-01-24",-6.3651
"2015-01-25",-4.2388
"2015-01-26",-1.6795
"2015-01-27",-0.4665
"2015-01-28",-1.2733
"2015-01-29",0.8734
"2015-01-30",1.1483
"2015-01-31",-0.7858
"2015-02-01",-3.0697
"2015-02-02",-2.5704
"2015-02-03",-1.0263
"2015-02-04",-0.4902
"2015-02-05",-0.7489
"2015-02-06",-0.6611
"2015-02-07",-0.5376
"2015-02-08",0.8468
"2015-02-09",0.1009
"2015-02-10",-1.08
"2015-02-11",-2.3075
"2015-02-12",-2.5292
"2015-02-13",-1.2663
"2015-02-14",-0.8926
"2015-02-15",-1.144
"2015-02-16",-5.7758
"2015-02-17",-6.9528
"2015-02-18",-3.806
"2015-02-19",-2.2354
"2015-02-20",-0.8494
"2015-02-21",-0.8358
"2015-02-22",-1.0699
"2015-02-23",-2.3005
"2015-02-24",-4.9536
"2015-02-25",-5.4924
"2015-02-26",-4.1298
"2015-02-27",-3.2654
"2015-02-28",-0.2253
"2015-03-01",1.379
"2015-03-02",-0.322
"2015-03-03",-3.6693
"2015-03-04",-7.1419
"2015-03-05",-7.7733
"2015-03-06",-5.0445
"2015-03-07",-3.2337
"2015-03-08",-1.9679
"2015-03-09",-1.9201
"2015-03-10",-1.7674
"2015-03-11",-0.4909
"2015-03-12",3.5692
"2015-03-13",2.4661
"2015-03-14",1.4458
"2015-03-15",0.5482
"2015-03-16",1.4985
"2015-03-17",4.2591
"2015-03-18",5.4579
"2015-03-19",2.4863
"2015-03-20",0.649
"2015-03-21",0.5938
"2015-03-22",2.0792
"2015-03-23",2.433
"2015-03-24",1.4258
"2015-03-25",-0.3271
"2015-03-26",-0.8976
"2015-03-27",1.0412
"2015-03-28",2.8968
"2015-03-29",4.189
"2015-03-30",4.2949
"2015-03-31",4.5344
"2015-04-01",5.6573
"2015-04-02",0.0409
"2015-04-03",-2.4076
"2015-04-04",-0.7052
"2015-04-05",3.4678
"2015-04-06",2.7593
"2015-04-07",2.7325
"2015-04-08",-2.1068
"2015-04-09",-3.0756
"2015-04-10",0.3365
"2015-04-11",1.9158
"2015-04-12",2.8335
"2015-04-13",2.5615
"2015-04-14",3.0174
"2015-04-15",-2.7772
"2015-04-16",-3.8871
"2015-04-17",-1.7051
"2015-04-18",1.6638
"2015-04-19",2.0297
"2015-04-20",2.4613
"2015-04-21",3.4736
"2015-04-22",3.7565
"2015-04-23",3.0985
"2015-04-24",4.468
"2015-04-25",4.2346
"2015-04-26",3.4488
"2015-04-27",4.1661
"2015-04-28",4.2061
"2015-04-29",4.704
"2015-04-30",7.5627
"2015-05-01",8.2039
"2015-05-02",8.8278
"2015-05-03",8.3497
"2015-05-04",8.4457
"2015-05-05",8.7689
"2015-05-06",5.9129
"2015-05-07",5.7713
"2015-05-08",2.9363
"2015-05-09",1.2316
"2015-05-10",1.795
"2015-05-11",3.144
"2015-05-12",7.3883
"2015-05-13",8.0371
"2015-05-14",7.9117
"2015-05-15",4.6816
"2015-05-16",3.5894
"2015-05-17",4.4173
"2015-05-18",5.6772
"2015-05-19",4.726
"2015-05-20",5.3401
"2015-05-21",7.0956
"2015-05-22",4.8329
"2015-05-23",5.3822
"2015-05-24",6.7458
"2015-05-25",6.6665
"2015-05-26",7.1604
"2015-05-27",7.8032
"2015-05-28",7.9915
"2015-05-29",8.6475
"2015-05-30",9.6359
"2015-05-31",12.0055
"2015-06-01",11.6811
"2015-06-02",9.7116
"2015-06-03",9.3256
"2015-06-04",10.0158
"2015-06-05",12.5364
"2015-06-06",10.4795
"2015-06-07",9.9519
"2015-06-08",11.927
"2015-06-09",14.9521
"2015-06-10",13.5384
"2015-06-11",11.1206
"2015-06-12",11.749
"2015-06-13",11.6237
"2015-06-14",12.1764
"2015-06-15",14.1279
"2015-06-16",14.4279
"2015-06-17",13.3522
"2015-06-18",14.2912
"2015-06-19",13.5403
"2015-06-20",14.4281
"2015-06-21",15.0105
"2015-06-22",15.3319
"2015-06-23",16.7938
"2015-06-24",16.5762
"2015-06-25",16.0505
"2015-06-26",16.8916
"2015-06-27",16.3202
"2015-06-28",16.7008
"2015-06-29",17.6566
"2015-06-30",18.8385
"2015-07-01",19.063
"2015-07-02",17.6227
"2015-07-03",17.5468
"2015-07-04",17.0193
"2015-07-05",16.8596
"2015-07-06",14.9459
"2015-07-07",14.0886
"2015-07-08",13.225
"2015-07-09",12.3063
"2015-07-10",12.7436
"2015-07-11",13.9233
"2015-07-12",14.5911
"2015-07-13",15.4872
"2015-07-14",14.3414
"2015-07-15",13.6134
"2015-07-16",14.3043
"2015-07-17",15.3205
"2015-07-18",15.1748
"2015-07-19",14.364
"2015-07-20",13.6109
"2015-07-21",13.5956
"2015-07-22",14.358
"2015-07-23",15.5347
"2015-07-24",13.987
"2015-07-25",14.8778
"2015-07-26",16.6798
"2015-07-27",15.1438
"2015-07-28",15.6255
"2015-07-29",16.0271
"2015-07-30",16.2757
"2015-07-31",17.0052
"2015-08-01",17.1223
"2015-08-02",14.3165
"2015-08-03",13.8194
"2015-08-04",14.5432
"2015-08-05",14.9604
"2015-08-06",16.0823
"2015-08-07",15.2569
"2015-08-08",13.4531
"2015-08-09",13.4971
"2015-08-10",14.7555
"2015-08-11",15.6221
"2015-08-12",14.6813
"2015-08-13",15.2472
"2015-08-14",16.5371
"2015-08-15",17.0698
"2015-08-16",16.637
"2015-08-17",16.9425
"2015-08-18",14.8141
"2015-08-19",14.2096
"2015-08-20",14.8362
"2015-08-21",15.481
"2015-08-22",15.4819
"2015-08-23",14.7598
"2015-08-24",14.6934
"2015-08-25",15.8982
"2015-08-26",15.5377
"2015-08-27",14.0457
"2015-08-28",13.9491
"2015-08-29",14.6125
"2015-08-30",14.5118
"2015-08-31",14.4682
"2015-09-01",14.196
"2015-09-02",14.2571
"2015-09-03",14.5129
"2015-09-04",15.0828
"2015-09-05",12.7501
"2015-09-06",12.2335
"2015-09-07",13.3023
"2015-09-08",12.6618
