"DateTime","(deg C) Min Temperature (gridMET) at 1, 1981-01-01 to 1985-12-31"
"1981-01-01",-5.9053
"1981-01-02",-3.0257
"1981-01-03",-4.2137
"1981-01-04",-3.4974
"1981-01-05",-4.7282
"1981-01-06",-8.8495
"1981-01-07",-8.0788
"1981-01-08",-6.9995
"1981-01-09",-7.3848
"1981-01-10",-6.3984
"1981-01-11",-5.7328
"1981-01-12",-4.2529
"1981-01-13",-4.4981
"1981-01-14",-6.9745
"1981-01-15",-5.9588
"1981-01-16",-4.0331
"1981-01-17",-4.2112
"1981-01-18",-6.6928
"1981-01-19",-7.6666
"1981-01-20",-6.5597
"1981-01-21",-7.177
"1981-01-22",-5.5018
"1981-01-23",-4.9048
"1981-01-24",-4.3201
"1981-01-25",-7.9166
"1981-01-26",-9.6283
"1981-01-27",-8.01
"1981-01-28",-3.6432
"1981-01-29",-6.4252
"1981-01-30",-6.7302
"1981-01-31",-8.4665
"1981-02-01",-10.2386
"1981-02-02",-11.0674
"1981-02-03",-7.9347
"1981-02-04",-7.1513
"1981-02-05",-8.2762
"1981-02-06",-7.1614
"1981-02-07",-5.7081
"1981-02-08",-7.1252
"1981-02-09",-3.3079
"1981-02-10",-8.3712
"1981-02-11",-10.2219
"1981-02-12",-7.5017
"1981-02-13",-6.7089
"1981-02-14",-4.9434
"1981-02-15",-2.5216
"1981-02-16",-2.3322
"1981-02-17",-1.3343
"1981-02-18",-2.1946
"1981-02-19",-1.5524
"1981-02-20",-1.5683
"1981-02-21",-8.5373
"1981-02-22",-7.7966
"1981-02-23",-4.697
"1981-02-24",-3.6227
"1981-02-25",-1.4002
"1981-02-26",-3.2151
"1981-02-27",-5.2209
"1981-02-28",-2.2089
"1981-03-01",-0.8204
"1981-03-02",-1.0406
"1981-03-03",-3.2536
"1981-03-04",-5.1596
"1981-03-05",-3.3738
"1981-03-06",-3.3305
"1981-03-07",-4.5367
"1981-03-08",-3.5539
"1981-03-09",-2.4069
"1981-03-10",-2.8164
"1981-03-11",-1.3035
"1981-03-12",-1.7977
"1981-03-13",-2.2997
"1981-03-14",-1.491
"1981-03-15",-3.3511
"1981-03-16",-1.3844
"1981-03-17",-2.9494
"1981-03-18",-5.1693
"1981-03-19",-3.1649
"1981-03-20",-0.7189
"1981-03-21",-5.218
"1981-03-22",-3.8221
"1981-03-23",-0.4274
"1981-03-24",1.586
"1981-03-25",0.1867
"1981-03-26",1.376
"1981-03-27",-2.1746
"1981-03-28",-4.1437
"1981-03-29",-4.1363
"1981-03-30",-3.0928
"1981-03-31",-5.3955
"1981-04-01",-2.5385
"1981-04-02",0.5265
"1981-04-03",-1.8429
"1981-04-04",-4.4094
"1981-04-05",-4.5193
"1981-04-06",-0.8612
"1981-04-07",1.2805
"1981-04-08",0.0106
"1981-04-09",1.6325
"1981-04-10",3.2293
"1981-04-11",3.7451
"1981-04-12",2.1706
"1981-04-13",3.8793
"1981-04-14",4.473
"1981-04-15",5.0496
"1981-04-16",5.4566
"1981-04-17",7.6506
"1981-04-18",7.2393
"1981-04-19",3.8571
"1981-04-20",2.9958
"1981-04-21",4.072
"1981-04-22",4.0611
"1981-04-23",2.8278
"1981-04-24",6.6038
"1981-04-25",7.3038
"1981-04-26",7.2909
"1981-04-27",8.1972
"1981-04-28",7.8137
"1981-04-29",8.6846
"1981-04-30",10.157
"1981-05-01",10.0892
"1981-05-02",8.4656
"1981-05-03",6.3947
"1981-05-04",4.253
"1981-05-05",5.6996
"1981-05-06",3.6887
"1981-05-07",2.4338
"1981-05-08",2.4354
"1981-05-09",-1.4592
"1981-05-10",2.9136
"1981-05-11",4.9603
"1981-05-12",5.4395
"1981-05-13",5.7917
"1981-05-14",7.1111
"1981-05-15",6.332
"1981-05-16",3.2104
"1981-05-17",2.2605
"1981-05-18",4.5962
"1981-05-19",6.3538
"1981-05-20",6.5499
"1981-05-21",2.6515
"1981-05-22",5.1245
"1981-05-23",6.9311
"1981-05-24",8.1132
"1981-05-25",9.5156
"1981-05-26",9.7031
"1981-05-27",7.9599
"1981-05-28",9.0399
"1981-05-29",8.4954
"1981-05-30",9.3853
"1981-05-31",10.0024
"1981-06-01",9.8757
"1981-06-02",10.5855
"1981-06-03",10.9795
"1981-06-04",8.6496
"1981-06-05",10.4341
"1981-06-06",13.3466
"1981-06-07",13.883
"1981-06-08",12.5831
"1981-06-09",13.1116
"1981-06-10",13.3558
"1981-06-11",12.8251
"1981-06-12",11.3945
"1981-06-13",9.9784
"1981-06-14",7.6267
"1981-06-15",1.3976
"1981-06-16",5.7298
"1981-06-17",10.1696
"1981-06-18",13.4301
"1981-06-19",13.1946
"1981-06-20",14.0797
"1981-06-21",14.611
"1981-06-22",16.1019
"1981-06-23",17.1786
"1981-06-24",16.4524
"1981-06-25",18.0794
"1981-06-26",17.2195
"1981-06-27",16.0504
"1981-06-28",15.1811
"1981-06-29",14.9813
"1981-06-30",14.3603
"1981-07-01",13.5912
"1981-07-02",12.391
"1981-07-03",14.2207
"1981-07-04",15.9339
"1981-07-05",16.7745
"1981-07-06",16.3605
"1981-07-07",16.3424
"1981-07-08",15.2787
"1981-07-09",16.3878
"1981-07-10",14.396
"1981-07-11",14.9804
"1981-07-12",15.2526
"1981-07-13",13.9148
"1981-07-14",13.6174
"1981-07-15",15.2208
"1981-07-16",13.9809
"1981-07-17",13.3925
"1981-07-18",14.1915
"1981-07-19",15.2936
"1981-07-20",15.7213
"1981-07-21",16.9174
"1981-07-22",17.2007
"1981-07-23",16.6117
"1981-07-24",15.3682
"1981-07-25",15.4239
"1981-07-26",14.7507
"1981-07-27",13.7685
"1981-07-28",15.2191
"1981-07-29",15.4908
"1981-07-30",15.4558
"1981-07-31",14.4559
"1981-08-01",14.8769
"1981-08-02",14.0961
"1981-08-03",13.4941
"1981-08-04",13.6885
"1981-08-05",14.3897
"1981-08-06",16.3757
"1981-08-07",15.2142
"1981-08-08",14.3203
"1981-08-09",14.4689
"1981-08-10",14.0467
"1981-08-11",11.2872
"1981-08-12",9.9383
"1981-08-13",9.4376
"1981-08-14",10.7202
"1981-08-15",11.6996
"1981-08-16",12.1428
"1981-08-17",13.5042
"1981-08-18",12.3208
"1981-08-19",12.9237
"1981-08-20",13.3733
"1981-08-21",14.1421
"1981-08-22",14.8242
"1981-08-23",14.1989
"1981-08-24",14.1615
"1981-08-25",14.7452
"1981-08-26",15.7941
"1981-08-27",14.933
"1981-08-28",14.0437
"1981-08-29",14.2169
"1981-08-30",14.4874
"1981-08-31",14.2284
"1981-09-01",12.4108
"1981-09-02",12.313
"1981-09-03",12.8614
"1981-09-04",13.3819
"1981-09-05",11.568
"1981-09-06",9.953
"1981-09-07",9.1636
"1981-09-08",9.9579
"1981-09-09",9.3921
"1981-09-10",9.1951
"1981-09-11",9.6251
"1981-09-12",10.8606
"1981-09-13",10.8242
"1981-09-14",11.0383
"1981-09-15",10.7342
"1981-09-16",10.2827
"1981-09-17",9.5283
"1981-09-18",9.3216
"1981-09-19",9.444
"1981-09-20",10.1248
"1981-09-21",10.1162
"1981-09-22",11.2121
"1981-09-23",9.106
"1981-09-24",7.8142
"1981-09-25",7.4837
"1981-09-26",6.7801
"1981-09-27",8.2243
"1981-09-28",8.3224
"1981-09-29",8.5472
"1981-09-30",8.8896
"1981-10-01",4.1218
"1981-10-02",5.3606
"1981-10-03",4.8628
"1981-10-04",4.3673
"1981-10-05",4.9107
"1981-10-06",6.4984
"1981-10-07",5.1772
"1981-10-08",6.9939
"1981-10-09",3.9923
"1981-10-10",4.6826
"1981-10-11",6.4297
"1981-10-12",4.2753
"1981-10-13",3.7373
"1981-10-14",4.0336
"1981-10-15",4.4771
"1981-10-16",1.3778
"1981-10-17",-0.5685
"1981-10-18",-0.0555
