"DateTime","(deg C) Max Temperature (gridMET) at 1, 2000-01-01 to 2020-01-22"
"2014-12-29",3.6362
"2014-12-30",3.6313
"2014-12-31",-0.9454
"2015-01-01",-2.313
"2015-01-02",-1.1859
"2015-01-03",3.0543
"2015-01-04",7.32
"2015-01-05",9.3491
"2015-01-06",10.7556
"2015-01-07",11.7651
"2015-01-08",11.3938
"2015-01-09",9.5873
"2015-01-10",8.3721
"2015-01-11",7.092
"2015-01-12",6.01
"2015-01-13",3.9263
"2015-01-14",4.9403
"2015-01-15",7.2888
"2015-01-16",9.0955
"2015-01-17",8.5079
"2015-01-18",10.5953
"2015-01-19",11.4107
"2015-01-20",9.2378
"2015-01-21",5.3164
"2015-01-22",2.1364
"2015-01-23",6.2485
"2015-01-24",8.7128
"2015-01-25",12.0573
"2015-01-26",13.9936
"2015-01-27",12.7164
"2015-01-28",12.4385
"2015-01-29",10.3597
"2015-01-30",3.3891
"2015-01-31",6.3713
"2015-02-01",9.6816
"2015-02-02",12.5823
"2015-02-03",13.6207
"2015-02-04",15.3252
"2015-02-05",16.748
"2015-02-06",17.3731
"2015-02-07",17.3076
"2015-02-08",17.6381
"2015-02-09",18.27
"2015-02-10",16.44
"2015-02-11",11.3727
"2015-02-12",13.4724
"2015-02-13",17.0023
"2015-02-14",18.4595
"2015-02-15",17.2633
"2015-02-16",12.1671
"2015-02-17",9.8936
"2015-02-18",15.7875
"2015-02-19",17.2576
"2015-02-20",15.8731
"2015-02-21",11.944
"2015-02-22",8.5672
"2015-02-23",4.7048
"2015-02-24",4.6506
"2015-02-25",8.7765
"2015-02-26",7.5912
"2015-02-27",3.4991
"2015-02-28",5.5999
"2015-03-01",8.2506
"2015-03-02",10.7844
"2015-03-03",6.9802
"2015-03-04",6.2656
"2015-03-05",10.2124
"2015-03-06",13.5305
"2015-03-07",15.4665
"2015-03-08",16.1704
"2015-03-09",15.4207
"2015-03-10",17.2812
"2015-03-11",18.1581
"2015-03-12",14.3159
"2015-03-13",16.9896
"2015-03-14",17.9163
"2015-03-15",20.7346
"2015-03-16",22.0386
"2015-03-17",20.5917
"2015-03-18",17.0972
"2015-03-19",15.372
"2015-03-20",15.9356
"2015-03-21",19.3407
"2015-03-22",20.348
"2015-03-23",19.5706
"2015-03-24",18.5526
"2015-03-25",16.503
"2015-03-26",18.8155
"2015-03-27",23.0088
"2015-03-28",24.4532
"2015-03-29",24.0278
"2015-03-30",24.037
"2015-03-31",23.8252
"2015-04-01",20.8351
"2015-04-02",18.4717
"2015-04-03",15.7476
"2015-04-04",20.1919
"2015-04-05",20.7407
"2015-04-06",19.92
"2015-04-07",18.957
"2015-04-08",15.9057
"2015-04-09",17.1405
"2015-04-10",19.643
"2015-04-11",20.4393
"2015-04-12",21.0313
"2015-04-13",22.6224
"2015-04-14",21.6976
"2015-04-15",12.6484
"2015-04-16",9.1599
"2015-04-17",10.4816
"2015-04-18",17.1778
"2015-04-19",19.2754
"2015-04-20",21.0743
"2015-04-21",22.1282
"2015-04-22",20.977
"2015-04-23",19.2455
"2015-04-24",16.0928
"2015-04-25",15.8516
"2015-04-26",12.111
"2015-04-27",18.5196
"2015-04-28",19.5733
"2015-04-29",24.1623
"2015-04-30",26.2659
"2015-05-01",26.8767
"2015-05-02",25.3529
"2015-05-03",22.1838
"2015-05-04",19.7841
"2015-05-05",15.7225
"2015-05-06",19.3748
"2015-05-07",20.4094
"2015-05-08",17.3581
"2015-05-09",11.5095
"2015-05-10",17.0125
"2015-05-11",21.9582
"2015-05-12",22.0886
"2015-05-13",21.4571
"2015-05-14",20.8086
"2015-05-15",13.3312
"2015-05-16",13.4297
"2015-05-17",19.8413
"2015-05-18",20.8603
"2015-05-19",19.2574
"2015-05-20",22.1956
"2015-05-21",21.4333
"2015-05-22",19.5806
"2015-05-23",15.5473
"2015-05-24",16.486
"2015-05-25",18.9655
"2015-05-26",22.998
"2015-05-27",24.7406
"2015-05-28",26.1543
"2015-05-29",25.8875
"2015-05-30",27.7623
"2015-05-31",30.0346
"2015-06-01",30.2184
"2015-06-02",28.9419
"2015-06-03",28.2858
"2015-06-04",28.3181
"2015-06-05",20.4967
"2015-06-06",21.227
"2015-06-07",25.5108
"2015-06-08",29.0137
"2015-06-09",26.8013
"2015-06-10",24.9936
"2015-06-11",24.353
"2015-06-12",25.4322
"2015-06-13",26.4658
"2015-06-14",28.6708
"2015-06-15",30.5602
"2015-06-16",31.3821
"2015-06-17",32.4181
"2015-06-18",33.5968
"2015-06-19",33.3434
"2015-06-20",35.2774
"2015-06-21",35.1011
"2015-06-22",34.8076
"2015-06-23",34.6529
"2015-06-24",32.7591
"2015-06-25",33.5278
"2015-06-26",35.212
"2015-06-27",34.2289
"2015-06-28",32.9893
"2015-06-29",34.0142
"2015-06-30",35.3062
"2015-07-01",35.1106
"2015-07-02",33.1988
"2015-07-03",31.5454
"2015-07-04",29.8623
"2015-07-05",29.2222
"2015-07-06",28.6737
"2015-07-07",27.1016
"2015-07-08",27.7149
"2015-07-09",23.4574
"2015-07-10",26.2767
"2015-07-11",28.6235
"2015-07-12",29.8056
"2015-07-13",30.177
"2015-07-14",28.2291
"2015-07-15",28.9562
"2015-07-16",30.3881
"2015-07-17",30.4956
"2015-07-18",28.5579
"2015-07-19",26.2603
"2015-07-20",28.1662
"2015-07-21",29.171
"2015-07-22",31.0185
"2015-07-23",30.4838
"2015-07-24",29.9188
"2015-07-25",31.858
"2015-07-26",31.8372
"2015-07-27",31.9031
"2015-07-28",31.9126
"2015-07-29",30.2456
"2015-07-30",28.9535
"2015-07-31",28.6954
"2015-08-01",27.5511
"2015-08-02",26.6917
"2015-08-03",29.8834
"2015-08-04",31.7644
"2015-08-05",33.2088
"2015-08-06",33.1071
"2015-08-07",27.026
"2015-08-08",26.8033
"2015-08-09",29.0445
"2015-08-10",28.7916
"2015-08-11",27.3672
"2015-08-12",28.6946
"2015-08-13",31.2854
"2015-08-14",32.9729
"2015-08-15",33.0844
"2015-08-16",33.4898
"2015-08-17",33.3682
"2015-08-18",32.6798
"2015-08-19",30.8456
"2015-08-20",31.9622
"2015-08-21",31.4467
"2015-08-22",31.4022
"2015-08-23",30.5027
"2015-08-24",31.6802
"2015-08-25",30.4757
"2015-08-26",25.8052
"2015-08-27",28.1216
"2015-08-28",30.5496
"2015-08-29",31.4635
"2015-08-30",29.9625
"2015-08-31",28.0691
"2015-09-01",28.5118
"2015-09-02",28.0698
"2015-09-03",27.697
"2015-09-04",24.3617
"2015-09-05",24.2727
"2015-09-06",27.1094
"2015-09-07",27.9872
"2015-09-08",28.8668
"2015-09-09",29.8478
"2015-09-10",30.6106
"2015-09-11",31.1888
"2015-09-12",31.3293
"2015-09-13",30.2357
"2015-09-14",25.5022
"2015-09-15",24.3689
"2015-09-16",25.0886
"2015-09-17",26.4188
"2015-09-18",26.9495
"2015-09-19",28.0653
"2015-09-20",28.766
"2015-09-21",27.6602
"2015-09-22",21.9705
"2015-09-23",26.4443
"2015-09-24",28.7214
"2015-09-25",28.53
"2015-09-26",29.1948
"2015-09-27",29.356
"2015-09-28",29.1129
"2015-09-29",29.9171
"2015-09-30",29.2464
"2015-10-01",29.1783
"2015-10-02",25.1066
"2015-10-03",22.5661
"2015-10-04",21.7083
"2015-10-05",18.1837
