"DateTime","(deg C) Max Temperature (gridMET) at 1, 2005-01-01 to 2014-12-28"
"2005-08-02",31.5342
"2005-08-03",30.4425
"2005-08-04",31.062
"2005-08-05",28.5586
"2005-08-06",28.4456
"2005-08-07",29.5568
"2005-08-08",29.497
"2005-08-09",29.6482
"2005-08-10",29.2809
"2005-08-11",28.3364
"2005-08-12",27.7531
"2005-08-13",28.7779
"2005-08-14",28.1127
"2005-08-15",25.9508
"2005-08-16",27.8385
"2005-08-17",28.426
"2005-08-18",28.3579
"2005-08-19",28.505
"2005-08-20",28.8292
"2005-08-21",30.0766
"2005-08-22",30.4736
"2005-08-23",28.9774
"2005-08-24",28.9531
"2005-08-25",29.6436
"2005-08-26",30.2728
"2005-08-27",30.812
"2005-08-28",30.399
"2005-08-29",31.755
"2005-08-30",31.2955
"2005-08-31",29.7773
"2005-09-01",30.9114
"2005-09-02",29.0091
"2005-09-03",27.1096
"2005-09-04",27.1192
"2005-09-05",29.3256
"2005-09-06",29.6233
"2005-09-07",29.8175
"2005-09-08",28.263
"2005-09-09",28.3812
"2005-09-10",25.1341
"2005-09-11",25.4089
"2005-09-12",24.2587
"2005-09-13",23.6609
"2005-09-14",22.9281
"2005-09-15",24.7165
"2005-09-16",26.6009
"2005-09-17",26.3218
"2005-09-18",27.164
"2005-09-19",28.4301
"2005-09-20",29.685
"2005-09-21",29.091
"2005-09-22",27.6986
"2005-09-23",27.5425
"2005-09-24",27.0915
"2005-09-25",26.4271
"2005-09-26",29.1236
"2005-09-27",28.8027
"2005-09-28",24.7653
"2005-09-29",20.424
"2005-09-30",23.2716
"2005-10-01",26.2714
"2005-10-02",25.6695
"2005-10-03",26.1933
"2005-10-04",25.2798
"2005-10-05",19.8912
"2005-10-06",22.5501
"2005-10-07",24.0902
"2005-10-08",24.7982
"2005-10-09",17.357
"2005-10-10",13.5835
"2005-10-11",16.2826
"2005-10-12",17.5371
"2005-10-13",18.8291
"2005-10-14",21.5644
"2005-10-15",18.8999
"2005-10-16",20.5261
"2005-10-17",23.0162
"2005-10-18",20.3216
"2005-10-19",15.173
"2005-10-20",18.2498
"2005-10-21",19.5823
"2005-10-22",20.8369
"2005-10-23",20.812
"2005-10-24",20.8719
"2005-10-25",20.5783
"2005-10-26",18.2931
"2005-10-27",19.5918
"2005-10-28",17.7597
"2005-10-29",16.3393
"2005-10-30",15.6038
"2005-10-31",14.4574
"2005-11-01",17.882
"2005-11-02",21.0726
"2005-11-03",19.672
"2005-11-04",17.095
"2005-11-05",14.6026
"2005-11-06",18.7972
"2005-11-07",20.3973
"2005-11-08",20.8418
"2005-11-09",22.5231
"2005-11-10",22.5804
"2005-11-11",16.6748
"2005-11-12",14.322
"2005-11-13",15.0445
"2005-11-14",16.577
"2005-11-15",9.7183
"2005-11-16",9.8562
"2005-11-17",11.9562
"2005-11-18",10.559
"2005-11-19",10.9364
"2005-11-20",11.55
"2005-11-21",13.5058
"2005-11-22",14.4945
"2005-11-23",14.6067
"2005-11-24",15.1258
"2005-11-25",13.4588
"2005-11-26",11.8063
"2005-11-27",5.4287
"2005-11-28",-0.1031
"2005-11-29",3.6225
"2005-11-30",9.6072
"2005-12-01",13.5662
"2005-12-02",15.1357
"2005-12-03",11.235
"2005-12-04",3.6738
"2005-12-05",2.1116
"2005-12-06",4.5046
"2005-12-07",1.9221
"2005-12-08",1.3202
"2005-12-09",3.901
"2005-12-10",4.3442
"2005-12-11",7.4744
"2005-12-12",9.1933
"2005-12-13",9.455
"2005-12-14",4.2959
"2005-12-15",2.4135
"2005-12-16",2.7101
"2005-12-17",3.4299
"2005-12-18",5.9408
"2005-12-19",9.8939
"2005-12-20",10.7597
"2005-12-21",12.3051
"2005-12-22",14.5561
"2005-12-23",14.3694
"2005-12-24",12.7958
"2005-12-25",13.0993
"2005-12-26",13.8574
"2005-12-27",10.174
"2005-12-28",12.361
"2005-12-29",11.209
"2005-12-30",9.7978
"2005-12-31",11.3336
"2006-01-01",11.2699
"2006-01-02",15.3101
"2006-01-03",12.5925
"2006-01-04",12.5482
"2006-01-05",10.7104
"2006-01-06",12.9349
"2006-01-07",14.9672
"2006-01-08",11.7513
"2006-01-09",6.0588
"2006-01-10",6.5456
"2006-01-11",8.8792
"2006-01-12",8.3071
"2006-01-13",9.3511
"2006-01-14",12.2853
"2006-01-15",9.5584
"2006-01-16",4.3914
"2006-01-17",5.5254
"2006-01-18",10.9771
"2006-01-19",6.2018
"2006-01-20",4.561
"2006-01-21",5.5074
"2006-01-22",5.1497
"2006-01-23",4.9778
"2006-01-24",7.5169
"2006-01-25",9.1824
"2006-01-26",6.7824
"2006-01-27",5.756
"2006-01-28",4.958
"2006-01-29",8.6577
"2006-01-30",10.1326
"2006-01-31",9.7988
"2006-02-01",11.7035
"2006-02-02",14.2016
"2006-02-03",11.07
"2006-02-04",13.2386
"2006-02-05",10.1904
"2006-02-06",8.7782
"2006-02-07",12.1359
"2006-02-08",13.5785
"2006-02-09",14.8501
"2006-02-10",10.8924
"2006-02-11",6.7754
"2006-02-12",7.6838
"2006-02-13",9.3695
"2006-02-14",11.7976
"2006-02-15",14.6323
"2006-02-16",7.6839
"2006-02-17",12.4653
"2006-02-18",11.2172
"2006-02-19",8.3987
"2006-02-20",8.9803
"2006-02-21",8.4332
"2006-02-22",8.4381
"2006-02-23",12.2424
"2006-02-24",14.5589
"2006-02-25",16.3875
"2006-02-26",18.852
"2006-02-27",19.6161
"2006-02-28",17.964
"2006-03-01",14.8885
"2006-03-02",15.7743
"2006-03-03",17.7778
"2006-03-04",14.7824
"2006-03-05",17.9566
"2006-03-06",19.9519
"2006-03-07",15.6938
"2006-03-08",9.3174
"2006-03-09",8.3531
"2006-03-10",5.7339
"2006-03-11",5.7917
"2006-03-12",0.9198
"2006-03-13",1.5816
"2006-03-14",5.9622
"2006-03-15",9.335
"2006-03-16",12.0217
"2006-03-17",14.2053
"2006-03-18",10.723
"2006-03-19",7.1781
"2006-03-20",9.0525
"2006-03-21",9.743
"2006-03-22",11.4956
"2006-03-23",13.5339
"2006-03-24",16.9357
"2006-03-25",19.1673
"2006-03-26",15.3795
"2006-03-27",17.2035
"2006-03-28",15.4234
"2006-03-29",14.1832
"2006-03-30",12.2474
"2006-03-31",17.761
"2006-04-01",13.7685
"2006-04-02",17.2255
"2006-04-03",21.0791
"2006-04-04",22.9273
"2006-04-05",16.4821
"2006-04-06",13.1153
"2006-04-07",17.7968
"2006-04-08",22.0627
"2006-04-09",23.3398
"2006-04-10",19.9982
"2006-04-11",18.7558
"2006-04-12",24.6501
"2006-04-13",25.8776
"2006-04-14",23.6774
"2006-04-15",19.3058
"2006-04-16",21.78
"2006-04-17",20.7415
"2006-04-18",13.5807
"2006-04-19",19.3595
"2006-04-20",21.6625
"2006-04-21",25.6742
"2006-04-22",26.4593
"2006-04-23",22.8609
"2006-04-24",17.3571
"2006-04-25",20.8824
"2006-04-26",24.5737
"2006-04-27",24.1097
"2006-04-28",21.8869
"2006-04-29",20.318
"2006-04-30",25.553
"2006-05-01",25.3362
"2006-05-02",26.5604
"2006-05-03",26.0421
"2006-05-04",24.2192
"2006-05-05",21.6791
"2006-05-06",22.3191
"2006-05-07",24.28
"2006-05-08",26.4687
"2006-05-09",23.0049
"2006-05-10",21.994
"2006-05-11",25.7008
"2006-05-12",29.1029
"2006-05-13",29.9189
"2006-05-14",30.332
"2006-05-15",28.9511
"2006-05-16",29.396
"2006-05-17",31.038
"2006-05-18",31.5961
"2006-05-19",31.2273
"2006-05-20",29.5781
"2006-05-21",30.23
"2006-05-22",25.9801
"2006-05-23",25.1695
"2006-05-24",30.1063
"2006-05-25",31.8916
"2006-05-26",29.2092
"2006-05-27",26.8443
"2006-05-28",22.4587
"2006-05-29",23.8142
"2006-05-30",26.8857
"2006-05-31",28.9634
"2006-06-01",32.1368
"2006-06-02",32.939
"2006-06-03",33.192
"2006-06-04",34.2589
"2006-06-05",34.7284
"2006-06-06",36.103
"2006-06-07",33.506
"2006-06-08",29.9499
"2006-06-09",30.4174
"2006-06-10",30.4455
"2006-06-11",31.9268
"2006-06-12",32.349
"2006-06-13",33.2017
"2006-06-14",32.4943
"2006-06-15",27.1103
"2006-06-16",26.7428
"2006-06-17",30.0082
"2006-06-18",33.8411
"2006-06-19",34.7998
"2006-06-20",32.6089
"2006-06-21",32.2369
"2006-06-22",33.5265
"2006-06-23",34.1272
"2006-06-24",35.1184
"2006-06-25",33.6384
"2006-06-26",32.5676
"2006-06-27",31.4162
"2006-06-28",32.5076
"2006-06-29",33.6292
"2006-06-30",33.2753
"2006-07-01",32.8513
"2006-07-02",32.1468
"2006-07-03",31.5024
"2006-07-04",32.1205
"2006-07-05",30.7172
"2006-07-06",29.735
"2006-07-07",25.2538
"2006-07-08",27.041
"2006-07-09",29.7855
"2006-07-10",30.2906
"2006-07-11",31.878
"2006-07-12",31.8856
"2006-07-13",32.5353
"2006-07-14",34.6441
"2006-07-15",34.4368
"2006-07-16",35.2745
"2006-07-17",35.6259
"2006-07-18",34.3114
"2006-07-19",32.9581
"2006-07-20",34.0469
"2006-07-21",34.5697
"2006-07-22",34.0353
"2006-07-23",34.0729
"2006-07-24",35.1488
"2006-07-25",34.3136
"2006-07-26",34.3326
"2006-07-27",33.6571
"2006-07-28",30.9964
"2006-07-29",30.8415
"2006-07-30",31.1557
"2006-07-31",28.9134
"2006-08-01",28.7964
"2006-08-02",29.2812
"2006-08-03",30.6572
"2006-08-04",28.733
"2006-08-05",29.3293
"2006-08-06",30.1288
"2006-08-07",30.108
"2006-08-08",30.8554
"2006-08-09",30.5984
"2006-08-10",30.7334
"2006-08-11",30.1997
"2006-08-12",27.0872
"2006-08-13",29.2543
"2006-08-14",29.7164
"2006-08-15",26.6186
"2006-08-16",28.21
"2006-08-17",29.0579
"2006-08-18",29.4623
"2006-08-19",30.092
"2006-08-20",30.261
"2006-08-21",29.9926
"2006-08-22",28.9293
"2006-08-23",30.1004
"2006-08-24",29.4081
"2006-08-25",27.8296
"2006-08-26",27.4376
"2006-08-27",26.8189
"2006-08-28",27.623
"2006-08-29",29.2526
"2006-08-30",29.4493
"2006-08-31",29.0792
"2006-09-01",29.6871
"2006-09-02",27.5308
"2006-09-03",26.3588
"2006-09-04",27.9424
"2006-09-05",29.2449
"2006-09-06",29.2164
"2006-09-07",25.7566
"2006-09-08",25.2458
"2006-09-09",24.3112
"2006-09-10",25.104
"2006-09-11",26.4795
"2006-09-12",27.5686
"2006-09-13",27.0059
"2006-09-14",24.0642
"2006-09-15",23.2169
"2006-09-16",19.5439
"2006-09-17",17.0452
"2006-09-18",19.6734
"2006-09-19",24.0499
"2006-09-20",22.2852
"2006-09-21",18.1182
"2006-09-22",16.5585
"2006-09-23",15.2467
"2006-09-24",19.4739
"2006-09-25",23.186
"2006-09-26",25.161
"2006-09-27",24.5745
"2006-09-28",24.7099
"2006-09-29",25.4448
"2006-09-30",26.5613
"2006-10-01",26.0887
"2006-10-02",26.0444
"2006-10-03",25.0506
"2006-10-04",27.1838
"2006-10-05",25.8578
"2006-10-06",21.6323
"2006-10-07",20.9308
"2006-10-08",20.0429
"2006-10-09",17.0242
"2006-10-10",16.3398
"2006-10-11",17.6356
"2006-10-12",18.4776
"2006-10-13",20.5324
"2006-10-14",17.8127
"2006-10-15",15.0523
"2006-10-16",16.7669
"2006-10-17",13.6188
"2006-10-18",10.5485
"2006-10-19",11.7999
"2006-10-20",15.7854
"2006-10-21",13.0151
"2006-10-22",14.5249
"2006-10-23",17.7088
"2006-10-24",16.2753
"2006-10-25",16.2955
"2006-10-26",9.8309
"2006-10-27",13.1026
"2006-10-28",16.3256
"2006-10-29",17.5249
"2006-10-30",15.6021
"2006-10-31",14.9462
"2006-11-01",14.4769
"2006-11-02",16.5803
"2006-11-03",17.634
"2006-11-04",16.9791
"2006-11-05",14.5457
"2006-11-06",15.8738
"2006-11-07",18.6687
"2006-11-08",21.941
"2006-11-09",17.5918
"2006-11-10",10.875
"2006-11-11",14.7584
"2006-11-12",9.6976
"2006-11-13",10.5221
"2006-11-14",11.4723
"2006-11-15",8.6822
"2006-11-16",13.0578
"2006-11-17",15.5573
"2006-11-18",15.5122
"2006-11-19",14.163
"2006-11-20",15.8471
"2006-11-21",16.8577
"2006-11-22",17.1532
"2006-11-23",15.9988
"2006-11-24",14.0127
"2006-11-25",13.4087
"2006-11-26",11.173
"2006-11-27",9.5538
"2006-11-28",7.2229
"2006-11-29",2.9275
"2006-11-30",1.7827
"2006-12-01",8.0265
"2006-12-02",2.7633
"2006-12-03",1.5733
"2006-12-04",3.6029
"2006-12-05",4.3687
"2006-12-06",5.8063
"2006-12-07",6.4714
"2006-12-08",9.837
"2006-12-09",10.9422
"2006-12-10",9.4391
"2006-12-11",7.3705
"2006-12-12",9.2208
"2006-12-13",10.6293
"2006-12-14",13.4143
"2006-12-15",15.001
"2006-12-16",14.8167
"2006-12-17",10.4399
"2006-12-18",8.7737
"2006-12-19",5.0205
"2006-12-20",1.4587
"2006-12-21",2.4141
"2006-12-22",3.3508
"2006-12-23",2.3607
"2006-12-24",2.6037
"2006-12-25",2.4727
"2006-12-26",4.2905
"2006-12-27",9.3313
"2006-12-28",6.9551
"2006-12-29",5.5614
"2006-12-30",4.18
"2006-12-31",2.6192
"2007-01-01",4.4314
"2007-01-02",4.7019
"2007-01-03",4.8832
"2007-01-04",6.5555
"2007-01-05",5.2513
"2007-01-06",2.2021
"2007-01-07",2.6048
"2007-01-08",4.8546
"2007-01-09",5.6901
"2007-01-10",8.1742
"2007-01-11",8.8716
"2007-01-12",8.2015
"2007-01-13",4.3188
"2007-01-14",0.1856
"2007-01-15",-2.2642
"2007-01-16",-0.2331
"2007-01-17",1.7503
"2007-01-18",2.9325
"2007-01-19",3.6063
"2007-01-20",3.9576
"2007-01-21",1.7301
"2007-01-22",3.0284
"2007-01-23",4.119
"2007-01-24",5.3473
"2007-01-25",6.3834
"2007-01-26",5.3069
"2007-01-27",5.8079
"2007-01-28",7.2689
"2007-01-29",7.3476
"2007-01-30",7.1302
"2007-01-31",4.8465
"2007-02-01",2.4622
"2007-02-02",1.1289
"2007-02-03",5.3083
"2007-02-04",7.6493
"2007-02-05",8.8186
"2007-02-06",10.4073
"2007-02-07",12.0311
"2007-02-08",12.3943
"2007-02-09",12.8957
"2007-02-10",12.7721
"2007-02-11",13.8353
"2007-02-12",11.8464
"2007-02-13",9.749
"2007-02-14",6.0628
"2007-02-15",7.0546
"2007-02-16",10.9509
"2007-02-17",10.9214
"2007-02-18",13.296
"2007-02-19",11.0991
"2007-02-20",9.5871
"2007-02-21",11.909
"2007-02-22",15.8064
"2007-02-23",9.2738
"2007-02-24",4.926
"2007-02-25",10.2757
"2007-02-26",11.9474
"2007-02-27",11.0686
"2007-02-28",5.1161
"2007-03-01",3.9574
"2007-03-02",4.7335
"2007-03-03",3.4426
"2007-03-04",8.7853
"2007-03-05",13.5283
"2007-03-06",15.2436
"2007-03-07",15.8726
"2007-03-08",16.9213
"2007-03-09",18.6484
"2007-03-10",17.8817
"2007-03-11",15.9912
"2007-03-12",19.6753
"2007-03-13",21.9475
"2007-03-14",22.1528
"2007-03-15",20.9214
"2007-03-16",22.6827
"2007-03-17",25.3659
"2007-03-18",24.8548
"2007-03-19",21.8101
"2007-03-20",21.237
"2007-03-21",19.4734
"2007-03-22",18.4642
"2007-03-23",16.5911
"2007-03-24",16.4238
"2007-03-25",19.4336
"2007-03-26",21.1376
"2007-03-27",19.5843
"2007-03-28",11.3813
"2007-03-29",11.1413
"2007-03-30",11.9719
"2007-03-31",16.8135
"2007-04-01",20.8119
"2007-04-02",22.1463
"2007-04-03",21.7693
"2007-04-04",23.3047
"2007-04-05",23.4141
"2007-04-06",23.6892
"2007-04-07",21.9387
"2007-04-08",20.8976
"2007-04-09",18.6077
"2007-04-10",14.5762
"2007-04-11",11.9347
"2007-04-12",15.815
"2007-04-13",12.5768
"2007-04-14",18.0388
"2007-04-15",19.5755
"2007-04-16",15.9334
"2007-04-17",19.5614
"2007-04-18",20.0839
"2007-04-19",16.2695
"2007-04-20",18.6895
"2007-04-21",14.7851
"2007-04-22",17.905
"2007-04-23",15.4337
"2007-04-24",16.5777
"2007-04-25",20.2537
"2007-04-26",22.5012
"2007-04-27",24.2807
"2007-04-28",27.0927
"2007-04-29",26.3896
"2007-04-30",27.0618
"2007-05-01",24.8983
"2007-05-02",21.5605
"2007-05-03",21.1865
"2007-05-04",19.4879
"2007-05-05",12.7935
"2007-05-06",13.4565
"2007-05-07",17.4254
"2007-05-08",21.6304
"2007-05-09",23.9766
"2007-05-10",27.0162
"2007-05-11",28.5956
"2007-05-12",29.3176
"2007-05-13",29.0883
"2007-05-14",27.4199
"2007-05-15",27.4482
"2007-05-16",26.3702
"2007-05-17",26.4273
"2007-05-18",27.3903
"2007-05-19",27.5256
"2007-05-20",25.5182
"2007-05-21",25.1812
"2007-05-22",20.593
"2007-05-23",16.4731
"2007-05-24",21.9787
"2007-05-25",25.5615
"2007-05-26",26.6762
"2007-05-27",26.662
"2007-05-28",27.095
"2007-05-29",26.6018
"2007-05-30",25.3375
"2007-05-31",28.7759
"2007-06-01",28.5179
"2007-06-02",30.7368
"2007-06-03",30.8639
"2007-06-04",31.694
"2007-06-05",31.4734
"2007-06-06",24.1595
"2007-06-07",20.6597
"2007-06-08",26.9202
"2007-06-09",29.9678
"2007-06-10",30.8301
"2007-06-11",27.088
"2007-06-12",26.5582
"2007-06-13",29.7515
"2007-06-14",32.0542
"2007-06-15",34.5224
"2007-06-16",35.1497
"2007-06-17",32.2277
"2007-06-18",32.1555
"2007-06-19",33.765
"2007-06-20",34.8928
"2007-06-21",34.6356
"2007-06-22",34.7859
"2007-06-23",35.1847
"2007-06-24",33.902
"2007-06-25",33.4279
"2007-06-26",34.3029
"2007-06-27",33.8194
"2007-06-28",33.6783
"2007-06-29",34.7252
"2007-06-30",33.9205
"2007-07-01",35.3103
"2007-07-02",36.0363
"2007-07-03",36.0202
"2007-07-04",36.1294
"2007-07-05",34.2557
"2007-07-06",33.762
"2007-07-07",34.4678
"2007-07-08",34.6072
"2007-07-09",35.654
"2007-07-10",35.09
"2007-07-11",31.6917
"2007-07-12",32.2323
"2007-07-13",33.0179
"2007-07-14",34.4036
"2007-07-15",35.2786
"2007-07-16",33.8159
"2007-07-17",33.4589
"2007-07-18",33.9165
"2007-07-19",34.1704
"2007-07-20",31.9311
"2007-07-21",32.1603
"2007-07-22",31.0888
"2007-07-23",30.2517
"2007-07-24",31.4795
"2007-07-25",31.4849
"2007-07-26",31.2698
"2007-07-27",30.7813
"2007-07-28",30.5034
"2007-07-29",31.2889
"2007-07-30",30.7935
"2007-07-31",30.2479
"2007-08-01",31.5224
"2007-08-02",30.7317
"2007-08-03",30.0442
"2007-08-04",30.9817
"2007-08-05",30.6225
"2007-08-06",28.9724
"2007-08-07",26.7895
"2007-08-08",29.8624
"2007-08-09",31.2082
"2007-08-10",30.4625
"2007-08-11",32.3669
"2007-08-12",34.0942
"2007-08-13",33.8213
"2007-08-14",31.9631
"2007-08-15",32.3372
"2007-08-16",32.1976
"2007-08-17",31.4353
"2007-08-18",31.9076
"2007-08-19",32.1996
"2007-08-20",31.4954
"2007-08-21",32.7612
"2007-08-22",32.6178
"2007-08-23",31.6034
"2007-08-24",32.1052
"2007-08-25",33.0342
"2007-08-26",31.4463
"2007-08-27",28.1914
"2007-08-28",29.8892
"2007-08-29",31.1846
"2007-08-30",31.3015
"2007-08-31",31.8627
"2007-09-01",31.3483
"2007-09-02",30.797
"2007-09-03",30.5888
"2007-09-04",29.9717
"2007-09-05",29.3563
"2007-09-06",29.2661
"2007-09-07",28.7647
"2007-09-08",29.5363
"2007-09-09",30.417
"2007-09-10",29.0669
"2007-09-11",29.694
"2007-09-12",28.8585
"2007-09-13",29.5736
"2007-09-14",29.219
"2007-09-15",29.6943
"2007-09-16",28.5808
"2007-09-17",25.0229
"2007-09-18",23.7832
"2007-09-19",25.8417
"2007-09-20",24.9272
"2007-09-21",26.0178
"2007-09-22",25.7487
"2007-09-23",19.7252
"2007-09-24",18.2667
"2007-09-25",21.1328
"2007-09-26",23.1816
"2007-09-27",24.7422
"2007-09-28",25.4619
"2007-09-29",23.1316
"2007-09-30",22.6965
"2007-10-01",23.4278
"2007-10-02",23.1687
"2007-10-03",25.0231
"2007-10-04",25.269
"2007-10-05",25.2576
"2007-10-06",17.4388
"2007-10-07",13.2071
"2007-10-08",19.9443
"2007-10-09",25.6377
"2007-10-10",25.9947
"2007-10-11",24.4638
"2007-10-12",24.8391
"2007-10-13",17.0757
"2007-10-14",17.6893
"2007-10-15",18.8667
"2007-10-16",19.0101
"2007-10-17",15.8367
"2007-10-18",13.5576
"2007-10-19",20.2346
"2007-10-20",23.4172
"2007-10-21",13.9758
"2007-10-22",12.1761
"2007-10-23",18.2993
"2007-10-24",21.9623
"2007-10-25",23.1647
"2007-10-26",23.3573
"2007-10-27",22.75
"2007-10-28",23.2734
"2007-10-29",23.39
"2007-10-30",21.2381
"2007-10-31",19.0148
"2007-11-01",18.9882
"2007-11-02",18.4918
"2007-11-03",18.7649
"2007-11-04",19.558
"2007-11-05",19.8236
"2007-11-06",21.6637
"2007-11-07",22.0895
"2007-11-08",21.5016
"2007-11-09",21.4108
"2007-11-10",19.1216
"2007-11-11",18.1654
"2007-11-12",18.1841
"2007-11-13",19.316
"2007-11-14",16.6923
"2007-11-15",18.2858
"2007-11-16",18.9144
"2007-11-17",18.443
"2007-11-18",19.6681
"2007-11-19",21.7971
"2007-11-20",18.0131
"2007-11-21",9.5529
"2007-11-22",9.3478
"2007-11-23",5.2208
"2007-11-24",2.9624
"2007-11-25",3.5817
"2007-11-26",5.8006
"2007-11-27",10.9698
"2007-11-28",7.2128
"2007-11-29",9.1354
"2007-11-30",11.5728
"2007-12-01",10.4187
"2007-12-02",8.8063
"2007-12-03",11.5644
"2007-12-04",12.3716
"2007-12-05",12.8463
"2007-12-06",13.4707
"2007-12-07",12.2302
"2007-12-08",9.628
"2007-12-09",6.5806
"2007-12-10",7.9381
"2007-12-11",4.9243
"2007-12-12",3.0233
"2007-12-13",2.3916
"2007-12-14",-0.0469
