"DateTime","(deg C) Min Temperature (gridMET) at 1, 2000-01-01 to 2014-12-28"
"2004-12-31",-0.7037
"2005-01-01",-1.9712
"2005-01-02",-1.9958
"2005-01-03",-0.2553
"2005-01-04",-2.4698
"2005-01-05",-6.3608
"2005-01-06",-8.3459
"2005-01-07",-8.8932
"2005-01-08",-3.8403
"2005-01-09",-1.1262
"2005-01-10",0.9426
"2005-01-11",0.4127
"2005-01-12",-4.9234
"2005-01-13",-7.0859
"2005-01-14",-5.3381
"2005-01-15",-5.4581
"2005-01-16",-4.4894
"2005-01-17",-3.4231
"2005-01-18",-3.4011
"2005-01-19",-2.3422
"2005-01-20",-1.1501
"2005-01-21",0.3243
"2005-01-22",-0.8557
"2005-01-23",-0.2635
"2005-01-24",-0.1747
"2005-01-25",-0.1153
"2005-01-26",1.0141
"2005-01-27",0.5824
"2005-01-28",-2.4767
"2005-01-29",-1.9486
"2005-01-30",-2.9959
"2005-01-31",-3.0476
"2005-02-01",-4.0338
"2005-02-02",-5.8167
"2005-02-03",-6.1588
"2005-02-04",-4.9864
"2005-02-05",-2.5332
"2005-02-06",-2.0046
"2005-02-07",-1.5039
"2005-02-08",-4.6
"2005-02-09",-5.9636
"2005-02-10",-4.3016
"2005-02-11",0.2056
"2005-02-12",1.7017
"2005-02-13",-1.5243
"2005-02-14",0.1906
"2005-02-15",0.0713
"2005-02-16",2.0252
"2005-02-17",0.0367
"2005-02-18",1.6569
"2005-02-19",0.6757
"2005-02-20",-1.067
"2005-02-21",-0.9766
"2005-02-22",0.4226
"2005-02-23",-0.0685
"2005-02-24",-1.0965
"2005-02-25",-2.1081
"2005-02-26",-1.7801
"2005-02-27",-2.3054
"2005-02-28",-2.4756
"2005-03-01",-0.5593
"2005-03-02",-1.9021
"2005-03-03",-0.0193
"2005-03-04",-0.2836
"2005-03-05",1.0006
"2005-03-06",0.2689
"2005-03-07",-1.2532
"2005-03-08",-0.8195
"2005-03-09",-1.0331
"2005-03-10",2.0929
"2005-03-11",0.2762
"2005-03-12",1.5408
"2005-03-13",1.0796
"2005-03-14",-3.9135
"2005-03-15",-8.3568
"2005-03-16",-6.841
"2005-03-17",-3.0778
"2005-03-18",-0.8807
"2005-03-19",0.4817
"2005-03-20",0.059
"2005-03-21",-3.3141
"2005-03-22",-2.6658
"2005-03-23",1.1969
"2005-03-24",-0.784
"2005-03-25",-1.6875
"2005-03-26",-4.744
"2005-03-27",-3.2008
"2005-03-28",0.4745
"2005-03-29",-0.7182
"2005-03-30",-4.1427
"2005-03-31",-9.1349
"2005-04-01",-4.8701
"2005-04-02",0.2852
"2005-04-03",3.2059
"2005-04-04",1.8144
"2005-04-05",-3.0661
"2005-04-06",-1.8032
"2005-04-07",3.8935
"2005-04-08",4.8783
"2005-04-09",-0.8413
"2005-04-10",-2.1033
"2005-04-11",-2.6129
"2005-04-12",0.3688
"2005-04-13",3.0883
"2005-04-14",5.1037
"2005-04-15",6.1612
"2005-04-16",6.8824
"2005-04-17",7.1616
"2005-04-18",4.6551
"2005-04-19",2.8689
"2005-04-20",0.3662
"2005-04-21",-1.3034
"2005-04-22",2.0282
"2005-04-23",7.681
"2005-04-24",2.8524
"2005-04-25",0.9844
"2005-04-26",1.6339
"2005-04-27",4.1048
"2005-04-28",2.501
"2005-04-29",1.2289
"2005-04-30",-0.1667
"2005-05-01",4.3588
"2005-05-02",3.5486
"2005-05-03",5.1417
"2005-05-04",4.6702
"2005-05-05",6.5862
"2005-05-06",4.542
"2005-05-07",0.2722
"2005-05-08",3.352
"2005-05-09",3.8397
"2005-05-10",4.4089
"2005-05-11",-0.1206
"2005-05-12",0.3403
"2005-05-13",2.9321
"2005-05-14",6.6443
"2005-05-15",8.1982
"2005-05-16",9.1107
"2005-05-17",7.0625
"2005-05-18",5.5617
"2005-05-19",9.8978
"2005-05-20",13.3005
"2005-05-21",12.4791
"2005-05-22",13.5565
"2005-05-23",12.6367
"2005-05-24",12.4325
"2005-05-25",11.849
"2005-05-26",12.6207
"2005-05-27",11.3821
"2005-05-28",11.1309
"2005-05-29",10.7771
"2005-05-30",8.6384
"2005-05-31",6.5962
"2005-06-01",8.7698
"2005-06-02",9.0885
"2005-06-03",7.8645
"2005-06-04",4.0679
"2005-06-05",7.1651
"2005-06-06",8.3167
"2005-06-07",6.6754
"2005-06-08",5.8769
"2005-06-09",6.907
"2005-06-10",6.9837
"2005-06-11",3.0277
"2005-06-12",7.8198
"2005-06-13",8.7477
"2005-06-14",9.8968
"2005-06-15",12.7858
"2005-06-16",11.5191
"2005-06-17",10.7581
"2005-06-18",10.0049
"2005-06-19",11.1221
"2005-06-20",15.1822
"2005-06-21",17.1028
"2005-06-22",16.7151
"2005-06-23",15.934
"2005-06-24",13.7318
"2005-06-25",15.0716
"2005-06-26",12.3679
"2005-06-27",10.6962
"2005-06-28",13.7465
"2005-06-29",11.5936
"2005-06-30",12.6645
"2005-07-01",13.9376
"2005-07-02",13.6919
"2005-07-03",11.7629
"2005-07-04",13.0658
"2005-07-05",12.763
"2005-07-06",13.0698
"2005-07-07",12.371
"2005-07-08",14.0433
"2005-07-09",12.8557
"2005-07-10",12.9464
"2005-07-11",13.5144
"2005-07-12",16.6572
"2005-07-13",17.6688
"2005-07-14",17.3861
"2005-07-15",18.0157
"2005-07-16",18.2167
"2005-07-17",18.7597
"2005-07-18",17.098
"2005-07-19",18.3447
"2005-07-20",18.7841
"2005-07-21",18.0033
"2005-07-22",18.072
"2005-07-23",16.2836
"2005-07-24",16.0474
"2005-07-25",16.174
"2005-07-26",16.0271
"2005-07-27",14.0732
"2005-07-28",15.187
"2005-07-29",15.8448
"2005-07-30",16.6756
"2005-07-31",16.2469
"2005-08-01",16.2059
"2005-08-02",15.7685
"2005-08-03",15.0714
"2005-08-04",14.699
"2005-08-05",13.9694
"2005-08-06",13.4072
"2005-08-07",15.0201
"2005-08-08",15.0994
"2005-08-09",15.5091
"2005-08-10",14.638
"2005-08-11",14.0475
"2005-08-12",13.1128
"2005-08-13",13.3401
"2005-08-14",13.8148
"2005-08-15",12.011
"2005-08-16",11.9435
"2005-08-17",12.076
"2005-08-18",11.9848
"2005-08-19",12.4816
"2005-08-20",13.3731
"2005-08-21",13.8753
"2005-08-22",14.0002
"2005-08-23",14.4965
"2005-08-24",12.934
"2005-08-25",12.9768
"2005-08-26",14.2115
"2005-08-27",15.0818
"2005-08-28",14.6315
"2005-08-29",14.1827
"2005-08-30",13.8752
"2005-08-31",12.3594
"2005-09-01",13.5987
"2005-09-02",12.7625
"2005-09-03",11.4129
"2005-09-04",12.0581
"2005-09-05",12.7013
"2005-09-06",15.0362
"2005-09-07",14.0246
"2005-09-08",13.8897
"2005-09-09",12.7776
"2005-09-10",10.3539
"2005-09-11",9.5807
"2005-09-12",7.9326
"2005-09-13",6.7382
"2005-09-14",6.7224
"2005-09-15",7.3483
"2005-09-16",7.3061
"2005-09-17",7.2953
"2005-09-18",7.5105
"2005-09-19",10.5286
"2005-09-20",13.0843
"2005-09-21",12.8699
"2005-09-22",11.5525
"2005-09-23",10.5684
"2005-09-24",10.2338
"2005-09-25",8.4397
"2005-09-26",10.2253
"2005-09-27",14.4273
"2005-09-28",10.5879
"2005-09-29",5.8276
"2005-09-30",4.8325
"2005-10-01",8.5578
"2005-10-02",8.893
"2005-10-03",8.4789
"2005-10-04",8.9984
"2005-10-05",1.8417
"2005-10-06",4.1601
"2005-10-07",5.7676
"2005-10-08",7.4507
"2005-10-09",4.6926
"2005-10-10",1.5749
"2005-10-11",2.3047
"2005-10-12",2.2953
"2005-10-13",2.7227
"2005-10-14",4.8046
"2005-10-15",5.5963
"2005-10-16",5.1427
"2005-10-17",5.2936
"2005-10-18",5.5259
"2005-10-19",2.5006
"2005-10-20",2.8016
"2005-10-21",4.3441
"2005-10-22",4.5258
"2005-10-23",5.235
"2005-10-24",4.2255
"2005-10-25",4.3751
"2005-10-26",3.2718
"2005-10-27",3.7305
"2005-10-28",3.1111
"2005-10-29",2.8686
"2005-10-30",1.6055
"2005-10-31",-2.0745
"2005-11-01",-0.3456
"2005-11-02",1.5137
"2005-11-03",3.4656
"2005-11-04",0.0668
"2005-11-05",-0.9472
"2005-11-06",-0.5507
"2005-11-07",4.6606
"2005-11-08",2.8961
"2005-11-09",3.6421
"2005-11-10",5.5583
"2005-11-11",3.3041
"2005-11-12",-2.1123
"2005-11-13",-1.6921
"2005-11-14",-0.3702
"2005-11-15",-5.263
"2005-11-16",-7.8899
"2005-11-17",-4.4994
"2005-11-18",-6.7184
"2005-11-19",-5.832
"2005-11-20",-6.2377
"2005-11-21",-4.1731
"2005-11-22",-2.8033
"2005-11-23",-2.3789
"2005-11-24",-0.2161
"2005-11-25",-2.7769
"2005-11-26",-2.99
"2005-11-27",-11.4684
"2005-11-28",-14.9868
"2005-11-29",-12.4959
"2005-11-30",-7.292
"2005-12-01",-6.255
"2005-12-02",-2.0263
"2005-12-03",-3.3238
"2005-12-04",-11.0766
"2005-12-05",-13.6248
"2005-12-06",-12.4693
"2005-12-07",-12.7402
