time,min,mean,max,std,count
2006-01-31 00:00:00+00:00,267.4497375488281,274.70367431640625,282.3552551269531,3.70790958404541,31
2006-02-28 00:00:00+00:00,271.38409423828125,275.3882141113281,280.35919189453125,2.423509120941162,28
2006-03-31 00:00:00+00:00,271.2960510253906,275.7641906738281,278.93096923828125,2.359912157058716,31
2006-04-30 00:00:00+00:00,273.10955810546875,278.4430847167969,284.0274658203125,2.4879469871520996,30
2006-05-31 00:00:00+00:00,276.66046142578125,280.8896789550781,284.7521667480469,2.16499662399292,31
2006-06-30 00:00:00+00:00,279.63409423828125,284.62384033203125,287.9940490722656,2.1787328720092773,30
2006-07-31 00:00:00+00:00,284.3214416503906,287.3707580566406,290.4070129394531,1.7006218433380127,31
2006-08-31 00:00:00+00:00,281.0184020996094,285.6690979003906,291.6759948730469,3.0683581829071045,31
2006-09-30 00:00:00+00:00,281.541015625,285.3872375488281,290.5840148925781,2.4705495834350586,30
2006-10-31 00:00:00+00:00,277.34552001953125,281.7126159667969,286.4320373535156,2.7402093410491943,31
2006-11-30 00:00:00+00:00,274.2621765136719,278.43756103515625,284.3505859375,2.356524705886841,30
2006-12-31 00:00:00+00:00,269.49102783203125,274.3708801269531,279.0877685546875,2.5847930908203125,31
2007-01-31 00:00:00+00:00,270.27740478515625,274.0550231933594,278.6530456542969,2.2210869789123535,31
2007-02-28 00:00:00+00:00,269.771728515625,275.2425231933594,281.3415222167969,2.850449800491333,28
2007-03-31 00:00:00+00:00,273.12103271484375,276.1971130371094,280.6587219238281,2.1079256534576416,31
2007-04-30 00:00:00+00:00,273.0592041015625,279.531494140625,284.7958068847656,2.7678940296173096,30
2007-05-31 00:00:00+00:00,278.3267517089844,281.23284912109375,285.1847839355469,1.844472885131836,31
2007-06-30 00:00:00+00:00,278.739990234375,283.45794677734375,288.6270751953125,2.2776448726654053,30
2007-07-31 00:00:00+00:00,282.0243225097656,285.07159423828125,287.9420166015625,1.6490055322647095,31
2007-08-31 00:00:00+00:00,282.6210632324219,285.8692932128906,291.1656799316406,2.4179255962371826,31
2007-09-30 00:00:00+00:00,280.2796630859375,284.3348388671875,290.9054260253906,3.0734481811523438,30
2007-10-31 00:00:00+00:00,277.10107421875,281.8798828125,289.41729736328125,3.068575620651245,31
2007-11-30 00:00:00+00:00,273.17254638671875,277.9706115722656,284.1976623535156,3.0376782417297363,30
2007-12-31 00:00:00+00:00,265.14495849609375,274.2408142089844,282.74444580078125,4.655666828155518,31
2008-01-31 00:00:00+00:00,267.7091064453125,273.9461975097656,278.724609375,2.482334613800049,31
2008-02-29 00:00:00+00:00,270.12646484375,273.6605529785156,278.5733947753906,2.294043779373169,29
2008-03-31 00:00:00+00:00,272.9305114746094,277.2349853515625,281.48846435546875,2.205106496810913,31
2008-04-30 00:00:00+00:00,273.6630859375,279.220703125,283.9630126953125,2.3423478603363037,30
2008-05-31 00:00:00+00:00,277.6549987792969,281.5397644042969,288.5461120605469,3.1189184188842773,31
2008-06-30 00:00:00+00:00,281.599365234375,284.12725830078125,287.9038391113281,1.8737170696258545,30
2008-07-31 00:00:00+00:00,282.9721374511719,285.9921569824219,289.88714599609375,1.8018230199813843,31
2008-08-31 00:00:00+00:00,283.1008605957031,285.943603515625,287.923828125,1.2980140447616577,31
2008-09-30 00:00:00+00:00,279.65985107421875,283.4102783203125,289.03582763671875,2.437349319458008,30
2008-10-31 00:00:00+00:00,278.08319091796875,281.26580810546875,284.1422119140625,1.4392739534378052,31
2008-11-30 00:00:00+00:00,272.9303894042969,276.9991760253906,282.96099853515625,2.8231611251831055,30
2008-12-31 00:00:00+00:00,270.189208984375,274.5903015136719,280.8654479980469,2.795933485031128,31
2009-01-31 00:00:00+00:00,266.959716796875,273.0810241699219,279.0877685546875,2.7653415203094482,31
2009-02-28 00:00:00+00:00,272.0639343261719,276.2576904296875,281.87152099609375,2.278566598892212,28
2009-03-31 00:00:00+00:00,269.7273254394531,275.5920715332031,281.9325256347656,2.5660226345062256,31
2009-04-30 00:00:00+00:00,273.69561767578125,277.73388671875,282.39111328125,2.3440237045288086,30
2009-05-31 00:00:00+00:00,277.2903747558594,280.25555419921875,283.8101806640625,1.8157402276992798,31
2009-06-30 00:00:00+00:00,279.0254821777344,282.087158203125,287.281005859375,1.7928026914596558,30
2009-07-31 00:00:00+00:00,282.7737731933594,286.18505859375,289.8995666503906,2.0160272121429443,31
2009-08-31 00:00:00+00:00,281.7521057128906,285.330078125,289.00860595703125,1.6525694131851196,31
2009-09-30 00:00:00+00:00,281.1493835449219,285.48974609375,292.7935485839844,2.591672658920288,30
2009-10-31 00:00:00+00:00,276.38232421875,280.41632080078125,282.7600402832031,1.6124235391616821,31
2009-11-30 00:00:00+00:00,269.98870849609375,276.43707275390625,281.8214416503906,2.909860134124756,30
2009-12-31 00:00:00+00:00,272.4356384277344,275.1416320800781,279.624267578125,1.8127492666244507,31
2010-01-31 00:00:00+00:00,268.1832275390625,274.0541076660156,279.8707580566406,2.8304741382598877,31
2010-02-28 00:00:00+00:00,268.08209228515625,275.12396240234375,280.91607666015625,3.406791925430298,28
2010-03-31 00:00:00+00:00,272.2043151855469,276.3929748535156,280.5233459472656,2.3426835536956787,31
2010-04-30 00:00:00+00:00,272.37158203125,277.6936340332031,281.81829833984375,2.698052167892456,30
2010-05-31 00:00:00+00:00,277.32177734375,281.3233947753906,286.6300964355469,2.1947503089904785,31
2010-06-30 00:00:00+00:00,279.086669921875,282.625,286.4107666015625,1.9278147220611572,30
