time,tasmin_day_CCSM4_rcp45
2006-04-22 00:00:00+00:00,276.0580749511719
2006-04-23 00:00:00+00:00,278.506591796875
2006-04-24 00:00:00+00:00,278.5313415527344
2006-04-25 00:00:00+00:00,276.33465576171875
2006-04-26 00:00:00+00:00,276.4521179199219
2006-04-27 00:00:00+00:00,278.60931396484375
2006-04-28 00:00:00+00:00,277.17327880859375
2006-04-29 00:00:00+00:00,277.4308776855469
2006-04-30 00:00:00+00:00,278.62847900390625
2006-05-01 00:00:00+00:00,278.81103515625
2006-05-02 00:00:00+00:00,279.79083251953125
2006-05-03 00:00:00+00:00,279.4683837890625
2006-05-04 00:00:00+00:00,279.6702880859375
2006-05-05 00:00:00+00:00,277.76092529296875
2006-05-06 00:00:00+00:00,277.4394226074219
2006-05-07 00:00:00+00:00,276.8599548339844
2006-05-08 00:00:00+00:00,278.3935546875
2006-05-09 00:00:00+00:00,277.0817565917969
2006-05-10 00:00:00+00:00,276.60589599609375
2006-05-11 00:00:00+00:00,278.0897216796875
2006-05-12 00:00:00+00:00,279.0649108886719
2006-05-13 00:00:00+00:00,279.24957275390625
2006-05-14 00:00:00+00:00,280.5049743652344
2006-05-15 00:00:00+00:00,279.6220397949219
2006-05-16 00:00:00+00:00,283.822509765625
2006-05-17 00:00:00+00:00,284.1201477050781
2006-05-18 00:00:00+00:00,282.3228759765625
2006-05-19 00:00:00+00:00,280.8258972167969
2006-05-20 00:00:00+00:00,281.3058776855469
2006-05-21 00:00:00+00:00,282.51043701171875
2006-05-22 00:00:00+00:00,282.0351257324219
2006-05-23 00:00:00+00:00,282.26153564453125
2006-05-24 00:00:00+00:00,282.8110656738281
2006-05-25 00:00:00+00:00,281.8965148925781
2006-05-26 00:00:00+00:00,283.0164489746094
2006-05-27 00:00:00+00:00,280.02618408203125
2006-05-28 00:00:00+00:00,279.827392578125
2006-05-29 00:00:00+00:00,281.2099914550781
2006-05-30 00:00:00+00:00,279.7308349609375
2006-05-31 00:00:00+00:00,278.420654296875
2006-06-01 00:00:00+00:00,279.3248291015625
2006-06-02 00:00:00+00:00,279.4905700683594
2006-06-03 00:00:00+00:00,280.74591064453125
2006-06-04 00:00:00+00:00,282.7410583496094
2006-06-05 00:00:00+00:00,279.81890869140625
2006-06-06 00:00:00+00:00,280.01837158203125
2006-06-07 00:00:00+00:00,280.87322998046875
2006-06-08 00:00:00+00:00,280.91156005859375
2006-06-09 00:00:00+00:00,281.7596435546875
2006-06-10 00:00:00+00:00,283.4232482910156
2006-06-11 00:00:00+00:00,283.5711669921875
2006-06-12 00:00:00+00:00,282.15203857421875
2006-06-13 00:00:00+00:00,282.930908203125
2006-06-14 00:00:00+00:00,285.42498779296875
2006-06-15 00:00:00+00:00,282.7240295410156
2006-06-16 00:00:00+00:00,283.7360534667969
2006-06-17 00:00:00+00:00,283.656982421875
2006-06-18 00:00:00+00:00,282.3259582519531
2006-06-19 00:00:00+00:00,281.1510314941406
2006-06-20 00:00:00+00:00,281.1497802734375
2006-06-21 00:00:00+00:00,284.3151550292969
2006-06-22 00:00:00+00:00,286.3227233886719
2006-06-23 00:00:00+00:00,283.12603759765625
2006-06-24 00:00:00+00:00,282.16839599609375
2006-06-25 00:00:00+00:00,283.79052734375
2006-06-26 00:00:00+00:00,282.35858154296875
2006-06-27 00:00:00+00:00,284.29876708984375
2006-06-28 00:00:00+00:00,284.1595458984375
2006-06-29 00:00:00+00:00,286.15264892578125
2006-06-30 00:00:00+00:00,286.7700500488281
2006-07-01 00:00:00+00:00,287.95147705078125
2006-07-02 00:00:00+00:00,287.7908630371094
2006-07-03 00:00:00+00:00,285.04254150390625
2006-07-04 00:00:00+00:00,284.1337585449219
2006-07-05 00:00:00+00:00,282.3087463378906
2006-07-06 00:00:00+00:00,282.4341735839844
2006-07-07 00:00:00+00:00,283.052734375
2006-07-08 00:00:00+00:00,282.4917907714844
2006-07-09 00:00:00+00:00,283.35186767578125
2006-07-10 00:00:00+00:00,282.0935974121094
2006-07-11 00:00:00+00:00,282.8653259277344
2006-07-12 00:00:00+00:00,285.0184020996094
2006-07-13 00:00:00+00:00,287.0119934082031
2006-07-14 00:00:00+00:00,286.80694580078125
2006-07-15 00:00:00+00:00,285.5049743652344
2006-07-16 00:00:00+00:00,282.779541015625
2006-07-17 00:00:00+00:00,281.4211730957031
2006-07-18 00:00:00+00:00,283.58367919921875
2006-07-19 00:00:00+00:00,283.2458801269531
2006-07-20 00:00:00+00:00,283.5571594238281
2006-07-21 00:00:00+00:00,284.18695068359375
2006-07-22 00:00:00+00:00,283.7204284667969
2006-07-23 00:00:00+00:00,283.0990295410156
2006-07-24 00:00:00+00:00,284.1718444824219
2006-07-25 00:00:00+00:00,283.65899658203125
2006-07-26 00:00:00+00:00,282.81988525390625
2006-07-27 00:00:00+00:00,283.6663818359375
2006-07-28 00:00:00+00:00,284.6169128417969
2006-07-29 00:00:00+00:00,283.79754638671875
2006-07-30 00:00:00+00:00,285.5224609375
2006-07-31 00:00:00+00:00,286.71502685546875
2006-08-01 00:00:00+00:00,288.4765625
2006-08-02 00:00:00+00:00,288.28558349609375
2006-08-03 00:00:00+00:00,287.3240966796875
2006-08-04 00:00:00+00:00,285.1541748046875
2006-08-05 00:00:00+00:00,284.76544189453125
2006-08-06 00:00:00+00:00,286.1721496582031
2006-08-07 00:00:00+00:00,287.3194885253906
2006-08-08 00:00:00+00:00,288.6768493652344
2006-08-09 00:00:00+00:00,287.0516052246094
2006-08-10 00:00:00+00:00,286.6534729003906
2006-08-11 00:00:00+00:00,286.6268005371094
2006-08-12 00:00:00+00:00,287.9892883300781
2006-08-13 00:00:00+00:00,288.3794860839844
2006-08-14 00:00:00+00:00,286.876220703125
2006-08-15 00:00:00+00:00,285.091552734375
2006-08-16 00:00:00+00:00,284.129638671875
2006-08-17 00:00:00+00:00,283.4661865234375
2006-08-18 00:00:00+00:00,284.0718994140625
2006-08-19 00:00:00+00:00,285.2276306152344
2006-08-20 00:00:00+00:00,283.3327331542969
2006-08-21 00:00:00+00:00,282.3345947265625
2006-08-22 00:00:00+00:00,284.1695556640625
2006-08-23 00:00:00+00:00,284.6333312988281
2006-08-24 00:00:00+00:00,284.9043884277344
2006-08-25 00:00:00+00:00,284.4540710449219
2006-08-26 00:00:00+00:00,283.4599609375
2006-08-27 00:00:00+00:00,282.8786926269531
2006-08-28 00:00:00+00:00,282.9034118652344
2006-08-29 00:00:00+00:00,285.3766174316406
2006-08-30 00:00:00+00:00,288.1691589355469
2006-08-31 00:00:00+00:00,288.4862365722656
2006-09-01 00:00:00+00:00,286.13665771484375
2006-09-02 00:00:00+00:00,284.60198974609375
2006-09-03 00:00:00+00:00,284.6690979003906
2006-09-04 00:00:00+00:00,283.573974609375
2006-09-05 00:00:00+00:00,282.9124755859375
2006-09-06 00:00:00+00:00,284.02618408203125
2006-09-07 00:00:00+00:00,284.9952697753906
2006-09-08 00:00:00+00:00,285.3027648925781
2006-09-09 00:00:00+00:00,285.45782470703125
2006-09-10 00:00:00+00:00,283.3321533203125
2006-09-11 00:00:00+00:00,282.3187561035156
2006-09-12 00:00:00+00:00,281.835205078125
2006-09-13 00:00:00+00:00,280.4060974121094
2006-09-14 00:00:00+00:00,281.507080078125
2006-09-15 00:00:00+00:00,279.0450134277344
2006-09-16 00:00:00+00:00,281.2369384765625
2006-09-17 00:00:00+00:00,281.8775939941406
2006-09-18 00:00:00+00:00,281.0149230957031
2006-09-19 00:00:00+00:00,280.2919006347656
2006-09-20 00:00:00+00:00,278.9131164550781
2006-09-21 00:00:00+00:00,277.5108337402344
2006-09-22 00:00:00+00:00,278.629638671875
2006-09-23 00:00:00+00:00,279.7876892089844
2006-09-24 00:00:00+00:00,281.3570556640625
2006-09-25 00:00:00+00:00,280.4003601074219
2006-09-26 00:00:00+00:00,282.6025085449219
2006-09-27 00:00:00+00:00,284.91510009765625
2006-09-28 00:00:00+00:00,285.9812316894531
2006-09-29 00:00:00+00:00,286.9610900878906
2006-09-30 00:00:00+00:00,284.592041015625
2006-10-01 00:00:00+00:00,282.2879333496094
2006-10-02 00:00:00+00:00,282.29791259765625
2006-10-03 00:00:00+00:00,284.3626403808594
2006-10-04 00:00:00+00:00,283.74114990234375
2006-10-05 00:00:00+00:00,280.9704895019531
2006-10-06 00:00:00+00:00,280.3881530761719
2006-10-07 00:00:00+00:00,279.0020751953125
2006-10-08 00:00:00+00:00,281.53326416015625
2006-10-09 00:00:00+00:00,283.1902160644531
2006-10-10 00:00:00+00:00,286.8643493652344
2006-10-11 00:00:00+00:00,285.2012939453125
2006-10-12 00:00:00+00:00,286.9568176269531
2006-10-13 00:00:00+00:00,284.0117492675781
2006-10-14 00:00:00+00:00,279.7786865234375
2006-10-15 00:00:00+00:00,276.0933532714844
2006-10-16 00:00:00+00:00,274.661865234375
2006-10-17 00:00:00+00:00,276.0296630859375
2006-10-18 00:00:00+00:00,277.9287414550781
2006-10-19 00:00:00+00:00,277.20794677734375
2006-10-20 00:00:00+00:00,273.99774169921875
2006-10-21 00:00:00+00:00,273.3127746582031
2006-10-22 00:00:00+00:00,275.66259765625
2006-10-23 00:00:00+00:00,277.60125732421875
2006-10-24 00:00:00+00:00,279.4492492675781
2006-10-25 00:00:00+00:00,278.86065673828125
2006-10-26 00:00:00+00:00,276.7916259765625
2006-10-27 00:00:00+00:00,276.9125671386719
2006-10-28 00:00:00+00:00,278.3489074707031
2006-10-29 00:00:00+00:00,277.9285583496094
2006-10-30 00:00:00+00:00,278.1849365234375
2006-10-31 00:00:00+00:00,278.7835693359375
