time,tasmax_day_CCSM4_rcp85
2006-04-23 00:00:00+00:00,292.90167236328125
2006-04-24 00:00:00+00:00,295.9161376953125
2006-04-25 00:00:00+00:00,295.5777282714844
2006-04-26 00:00:00+00:00,295.60174560546875
2006-04-27 00:00:00+00:00,295.7924499511719
2006-04-28 00:00:00+00:00,298.91680908203125
2006-04-29 00:00:00+00:00,301.626708984375
2006-04-30 00:00:00+00:00,302.6744689941406
2006-05-01 00:00:00+00:00,302.4627990722656
2006-05-02 00:00:00+00:00,297.245849609375
2006-05-03 00:00:00+00:00,287.5483093261719
2006-05-04 00:00:00+00:00,289.4994201660156
2006-05-05 00:00:00+00:00,289.4655456542969
2006-05-06 00:00:00+00:00,289.7294006347656
2006-05-07 00:00:00+00:00,292.398193359375
2006-05-08 00:00:00+00:00,291.93280029296875
2006-05-09 00:00:00+00:00,293.2665710449219
2006-05-10 00:00:00+00:00,294.0747985839844
2006-05-11 00:00:00+00:00,294.5068664550781
2006-05-12 00:00:00+00:00,292.2102355957031
2006-05-13 00:00:00+00:00,292.5033874511719
2006-05-14 00:00:00+00:00,293.73492431640625
2006-05-15 00:00:00+00:00,295.6533508300781
2006-05-16 00:00:00+00:00,296.053955078125
2006-05-17 00:00:00+00:00,293.2804260253906
2006-05-18 00:00:00+00:00,291.6603698730469
2006-05-19 00:00:00+00:00,290.02740478515625
2006-05-20 00:00:00+00:00,290.61370849609375
2006-05-21 00:00:00+00:00,291.8627624511719
2006-05-22 00:00:00+00:00,296.490234375
2006-05-23 00:00:00+00:00,299.1158142089844
2006-05-24 00:00:00+00:00,298.2585144042969
2006-05-25 00:00:00+00:00,293.8166809082031
2006-05-26 00:00:00+00:00,293.83624267578125
2006-05-27 00:00:00+00:00,295.0433349609375
2006-05-28 00:00:00+00:00,296.0567626953125
2006-05-29 00:00:00+00:00,294.8866271972656
2006-05-30 00:00:00+00:00,292.8106689453125
2006-05-31 00:00:00+00:00,291.8155517578125
2006-06-01 00:00:00+00:00,291.554443359375
2006-06-02 00:00:00+00:00,291.15985107421875
2006-06-03 00:00:00+00:00,290.9935607910156
2006-06-04 00:00:00+00:00,293.2621154785156
2006-06-05 00:00:00+00:00,295.6763610839844
2006-06-06 00:00:00+00:00,296.5232849121094
2006-06-07 00:00:00+00:00,296.5452880859375
2006-06-08 00:00:00+00:00,294.84661865234375
